小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
保利西山林语;(海淀海淀北部新区)黑龙潭路;2008年建成;板楼/塔板结合;2.58至3.88元/平米/月;保利物业管理(北京)有限公司;保利（北京）房地产开发有限公司;56栋;3493户;林语公馆店/海淀区西北旺冷泉林语山庄一期13-109底商链家地产
橡树湾;(海淀清河)学府树家园;2007年建成;塔楼/板楼/塔板结合;2.5至10.8元/平米/月;华润置地(北京)物业管理有限责任公司;华润置地;28栋;4404户;橡树湾中心店/海淀学府树家园3号楼3-1底墒
今典花园;(海淀小西天)文慧园北路9号;1998年建成;塔楼;2.09至2.95元/平米/月;北京今日今典物业管理有限责任公司;北京安地房地产开发有限责任公司;9栋;2411户;今典花园店/海淀区文慧园北路24号南侧第一间第二间第三间第四间
当代城市家园;(海淀上地)安宁庄西路9号院;2001年建成;板楼/塔板结合;0.95至1.9元/平米/月;北京高之苑物业管理有限公司;北京当代城市房地产开发有限公司;25栋;2153户;当代城市家园店/海淀区安宁庄西路9号院5号楼1单元102
永泰东里;(海淀清河)永泰东里;1994年建成;板楼;0.8元/平米/月;北京房修一物业管理有限公司;北京首开天鸿集团有限公司;47栋;4652户;清河店/海淀区永泰东里52号楼底商3号
莱圳家园;(海淀清河)莱圳家园;2006年建成;板楼;1.9元/平米/月;北京怡兴物业管理有限责任公司;北京海欣方舟房地产开发有限公司;16栋;2280户;莱圳店/海淀区莱圳家园17号楼
上地东里;(海淀上地)信息路30号;1993年建成;塔楼/板楼/塔板结合/平房;0.8元/平米/月;北京实创上地物业管理服务有限责任公司;北京实创房地产开发公司;57栋;3190户;101中学店/海淀区上地东里四区1号楼1层甲5号
育新花园;(海淀西三旗)西三旗东路;1994年建成;塔楼/板楼;0.98至1.78元/平米/月;北京育新物业管理公司;北京高校房地产开发总公司;54栋;5051户;育新北门店/海淀区育新花园花园小区16号楼2层部分
八里庄北里;(海淀定慧寺)八里庄北里;1991年建成;塔楼/板楼/塔板结合;1至2.5元/平米/月;北京华丽楼宇物业管理有限责任公司;北京城建三房地产开发有限公司;42栋;3284户;西八里庄南门店/海淀八里庄北里46号楼一层底商（由东向西第一，二，三间）
逸成东苑;(海淀学院路)学清路逸成东苑;2003年建成;塔楼/板楼;2.15至2.474元/平米/月;北京太月物业管理有限责任公司;北京泰跃房地产开发有限责任公司;21栋;2738户;城华园店/海淀区城华园2号楼106号
